File Name,Pre-compression Entropy,Post-compression Entropy
data/6a018865-7f65-4890-8216-cc50de8a588b.wav,5.976663,7.953502
data/6a8f6a6e-48ce-4e1f-a22e-8237c4123323.wav,4.181340,7.946181
data/6ac7e280-8705-4b5b-9cee-ae076d052c1c.wav,5.735451,7.947882
data/6b3280a8-ef75-4bfc-b545-870dec21a776.wav,5.229511,7.948717
data/6c1d183e-922f-4d75-8467-c464bdf3d21d.wav,6.212599,7.978128
data/6c6c6720-bd7c-4f0d-b6a5-2e0aef1c4a45.wav,4.549854,7.948490
data/6c7b12ed-6f6a-43ac-b7bf-08eb9bddef30.wav,4.179734,7.959094
data/6ce74c98-7bd8-4469-8866-63d846be6357.wav,5.858948,7.949951
data/6dc3a8b6-961d-439b-a763-21c1a9998af3.wav,4.988306,7.951790
data/6df93e0a-9710-4099-9346-584c1e0ba191.wav,4.622028,7.944149
data/6e91dd23-2f15-48e2-b5d1-1d72ee8d1f3c.wav,5.049638,7.944698
data/6ea9f572-2612-4be6-981a-757b4c6f3af6.wav,5.094019,7.961002
data/6ec68994-64af-450b-ab97-6ec627e26292.wav,5.893312,7.949253
data/6f01ecb2-f5a3-4b6e-b171-fdab2b269aa6.wav,4.983586,7.946410
data/6f0ff573-07d0-4999-ba15-e6e8c40feba5.wav,4.845021,7.956575
data/6f105479-6981-4ab9-a41b-a9f6cb46fee3.wav,4.569087,7.951744
data/6f27b7c0-b35e-4d69-9534-607829224153.wav,5.691650,7.941851
data/6f3f218f-5bbf-4173-a9c7-388e8c101d8e.wav,5.495517,7.949637
data/6f56ff2c-3ce6-4b5b-835f-681fbc0a16f3.wav,5.848386,7.944458
data/6fa836a3-a161-4ba6-8b88-08e5c6b466e2.wav,4.938593,7.953650
data/6fb6e630-0bc6-4adf-9217-ec8b48123552.wav,4.827956,7.953523
data/7008d9c8-6868-47eb-9935-3cf6885cdb1d.wav,4.812352,7.947953
data/70273408-6898-4ce0-891a-d6fa78db2d1d.wav,4.609480,7.936264
